id,tag_id,name,category,count,ips
382,1445905,v-shaped_eyebrows,0,209550,[]
383,394222,arm_support,0,104156,[]
384,8072,black_socks,0,122025,[]
385,395400,buttons,0,169237,[]
386,411323,capelet,0,138454,[]
387,615165,green_bow,0,49421,[]
388,665407,hand_to_own_mouth,0,18881,[]
389,3314,kneehighs,0,143701,[]
390,430739,large_bow,0,8324,[]
391,301022,lying,0,512395,[]
392,463179,no_shoes,0,106106,[]
393,420531,nose_blush,0,121013,[]
394,447393,on_side,0,102196,[]
395,465277,plaid,0,11121,[]
396,695469,plaid_bow,0,10630,[]
397,391251,breast_rest,0,10635,[]
398,487161,breasts_on_head,0,2561,[]
399,513837,greyscale,0,563211,[]
400,393579,mechanical_pencil,0,2397,[]
401,1681,monochrome,0,707002,[]
402,1931,sketch,0,167330,[]
403,6010,tears,0,258617,[]
404,15689,:p,0,44981,[]
405,16721,blue_panties,0,27334,[]
406,4075,cameltoe,0,108319,[]
407,16252,spread_legs,0,290053,[]
408,377360,take_your_pick,0,8281,[]
409,462594,bobby_socks,0,10973,[]
410,1303252,brown_footwear,0,0,[]
411,444002,from_above,0,115892,[]
412,401601,loafers,0,69366,[]
413,584749,pink_background,0,115305,[]
414,593295,red_border,0,2390,[]
415,475720,short_ponytail,0,40631,[]
416,463397,white_socks,0,171183,[]
417,1401801,black_capelet,0,15762,[]
418,474500,black_ribbon,0,156592,[]
419,455880,black_thighhighs,0,425134,[]
420,378032,flat_chest,0,200541,[]
421,1396773,fur-trimmed_capelet,0,11834,[]
422,539584,fur_trim,0,187587,[]
423,534835,hair_intakes,0,160445,[]
424,688777,half-closed_eyes,0,111501,[]
425,415974,looking_down,0,112554,[]
426,668635,pom_pom_(clothes),0,56443,[]
427,566461,anger_vein,0,62418,[]
428,657955,artist_name,0,468508,[]
429,635786,index_finger_raised,0,59473,[]
430,391713,long_skirt,0,43278,[]
431,648045,sideways_mouth,0,8218,[]
432,6207,sportswear,0,27977,[]
433,484666,transparent_background,0,121051,[]
434,273,apron,0,245587,[]
435,412952,arm_garter,0,9726,[]
436,464553,cup,0,213584,[]
437,397117,curtains,0,77571,[]
438,59,maid,0,172114,[]
439,463173,maid_headdress,0,168607,[]
440,1736,profile,0,150465,[]
441,3209,table,0,98431,[]
442,4648,teacup,0,36832,[]
443,9481,teapot,0,16660,[]
444,2813,window,0,152097,[]
445,431446,alternate_costume,0,518286,[]
446,39127,black_dress,0,288880,[]
447,548722,enmaided,0,31780,[]
448,573016,hands_on_shoulders,0,0,[]
449,611487,juliet_sleeves,0,81231,[]
450,529213,maid_apron,0,60909,[]
451,384774,necktie,0,523982,[]
452,1077303,underbust,0,23348,[]
453,713203,crotch_seam,0,21665,[]
454,1276712,layered_sleeves,0,34049,[]
455,714474,thighhighs_over_pantyhose,0,1686,[]
456,89189,yellow_eyes,0,820602,[]
457,467285,crystal,0,29497,[]
458,1793,fang,0,371923,[]
459,234192,from_behind,0,271171,[]
460,422340,full_moon,0,45933,[]
461,464588,hat_ribbon,0,72181,[]
462,1684874,laevatein_(touhou),0,4360,[]
463,635112,light_particles,0,66872,[]
464,582201,mob_cap,0,84785,[]
465,2726,moon,0,87411,[]
466,653206,one_side_up,0,122201,[]
467,16750,pink_eyes,0,335517,[]
468,501766,pink_hat,0,22611,[]
469,684639,puffy_short_sleeves,0,207541,[]
470,621064,red_vest,0,27352,[]
471,628293,skirt_set,0,52879,[]
472,2866,wings,0,505312,[]
473,402217,^_^,0,127873,[]
474,555246,black_border,0,19744,[]
475,578948,closed_umbrella,0,6996,[]
476,1575551,gap_(touhou),0,10141,[]
477,4960,parasol,0,13921,[]
478,452112,tabard,0,27794,[]
479,690177,tress_ribbon,0,24394,[]
480,397136,trigram,0,1175,[]
481,1915,umbrella,0,101644,[]
482,14620,white_dress,0,336917,[]
483,394970,wide_sleeves,0,296755,[]
484,374979,all_fours,0,66314,[]
485,492223,bar_censor,0,181654,[]
486,9714,bent_over,0,69826,[]
487,4352,censored,0,529171,[]
488,10228,elbow_gloves,0,344927,[]
489,469652,garter_straps,0,94617,[]
490,5735,gloves,0,1576195,[]
491,9882,high_heels,0,234291,[]
492,509884,impossible_clothes,0,30791,[]
493,478938,impossible_dress,0,3146,[]
494,10376,naughty_face,0,31505,[]
495,1595,no_panties,0,102515,[]
496,1515359,pink_theme,0,17251,[]
497,4378,pussy,0,417963,[]
498,436576,short_dress,0,106922,[]
499,389553,skin_tight,0,45032,[]
500,395448,thigh_boots,0,102717,[]
501,89368,aqua_eyes,0,207614,[]
502,94007,aqua_hair,0,142133,[]
503,13804,earrings,0,677038,[]
504,391128,gradient_hair,0,168796,[]
505,415000,impossible_shirt,0,6064,[]
506,16613,jewelry,0,1272770,[]
507,390728,multicolored_hair,0,867342,[]
508,615907,pink_gloves,0,12955,[]
509,593296,red_background,0,73314,[]
510,4311,legs,0,165502,[]
511,443395,thigh_strap,0,191830,[]
512,1288957,white_footwear,0,0,[]
513,464535,book,0,158847,[]
514,388072,costume_switch,0,8736,[]
515,658950,holding_book,0,55857,[]
516,589477,argyle_background,0,6292,[]
517,596866,blue_hat,0,47295,[]
518,689532,low-tied_long_hair,0,49588,[]
519,397215,outline,0,62253,[]
520,477230,red_hat,0,54133,[]
521,402062,!,0,45118,[]
522,428173,blue_skirt,0,206305,[]
523,469224,blue_thighhighs,0,21284,[]
524,387884,detached_sleeves,0,482616,[]
525,2646,hairclip,0,385189,[]
526,575982,light_smile,0,87347,[]
527,534168,v_arms,0,28993,[]
528,541727,wariza,0,93407,[]
529,1337464,x_hair_ornament,0,89288,[]
530,659098,black_footwear,0,0,[]
531,374628,black_skirt,0,359780,[]
532,510962,character_name,0,239612,[]
533,14442,walking,0,44301,[]
534,10802,bonnet,0,13106,[]
535,4172,corset,0,52820,[]
536,1936,crossover,0,72484,[]
537,1257578,frilled_collar,0,10303,[]
538,2196955,ouji_fashion,0,3327,[]
539,1723,parody,0,96738,[]
540,448292,porkpie_hat,0,3931,[]
541,6425,scissors,0,11462,[]
542,516299,style_parody,0,29286,[]
543,15770,top_hat,0,38134,[]
544,1811,twins,0,37551,[]
545,378821,watering_can,0,3192,[]
546,473292,blue_socks,0,11591,[]
547,7486,fighting_stance,0,27370,[]
548,5831,katana,0,71516,[]
549,478077,ready_to_draw,0,1639,[]
550,11879,blouse,0,47892,[]
551,13227,happy,0,112593,[]
552,1515355,black_theme,0,2448,[]
553,506,dark,0,16990,[]
554,431528,gears,0,7149,[]
555,15187,machine,0,2005,[]
556,1434344,pencil_dress,0,3254,[]
557,2328,polearm,0,63700,[]
558,4145,spear,0,26978,[]
559,1512493,blue_tabard,0,2446,[]
560,405345,cherry_blossoms,0,62329,[]
561,429369,finger_to_mouth,0,43950,[]
